,Aircraft,Segment,Sub_assembly,forecast_3,forecast_6,forecast_9,forecast_12,sum
0,CH-64,Avionics,SA-A01,2569488.531,4852055.534,7368584.704,9826713.467,24616842.24
1,CH-64,Avionics,SA-A02,2569488.531,4852055.534,7368584.704,9826713.467,24616842.24
2,CH-64,Engine,SA-E01,1284744.362,2426027.987,3684292.752,4913357.7,12308422.8
3,CH-64,Engine,SA-E02,1284744.362,2426027.987,3684292.752,4913357.7,12308422.8
4,LCA,Avionics,SA-A01,2569488.531,4852055.534,7368584.704,9826713.467,24616842.24
5,LCA,Avionics,SA-A02,2569488.531,4852055.534,7368584.704,9826713.467,24616842.24
6,LCA,Engine,SA-E01,2569488.531,4852055.534,7368584.704,9826713.467,24616842.24
7,LCA,Engine,SA-E02,2569488.531,4852055.534,7368584.704,9826713.467,24616842.24
